,occurTime,age,occupation,isRock,occurMonth
414,0,70,4,1,5
415,6,20,4,1,5
416,6,10,2,1,5
417,7,10,2,1,5
418,22,10,2,1,7
419,16,10,2,1,9
420,16,10,2,0,11
421,12,40,4,0,6
422,17,40,4,0,9
423,11,10,2,0,5
424,15,10,2,0,6
425,18,10,2,0,6
426,19,10,2,0,6
427,19,10,2,0,7
428,19,10,2,0,7
429,7,10,2,0,7
430,20,10,2,0,10
431,19,60,4,0,12
432,19,10,2,0,3
433,9,20,4,0,7
434,8,50,4,0,9
435,16,50,4,0,5
436,18,10,1,0,3
437,20,10,2,0,5
438,19,40,4,0,5
439,16,10,1,0,5
440,14,30,4,0,12
441,18,10,2,0,12
442,18,50,4,0,4
443,18,20,4,0,11
444,16,20,4,0,5
445,8,30,4,0,11
446,19,50,4,0,5
447,0,20,3,0,8
448,0,60,4,0,8
449,8,50,4,0,5
450,8,10,2,0,1
451,19,30,4,0,2
452,15,20,3,0,9
453,18,30,4,0,5
454,6,10,3,0,5
455,16,10,2,0,5
456,7,10,2,0,6
457,17,10,2,0,7
458,3,40,4,0,8
459,12,20,4,0,9
460,16,10,2,0,10
461,18,10,2,0,10
462,20,10,2,0,10
463,15,50,4,0,9
464,8,10,2,0,12
465,8,40,4,0,1
466,15,20,3,0,6
467,14,70,4,0,6
468,15,30,4,0,8
469,18,20,3,0,8
470,21,40,4,0,10
471,10,70,4,0,12
472,18,20,3,0,12
473,16,60,4,0,12
474,14,60,4,0,4
475,17,40,4,0,4
476,18,20,3,0,7
477,12,50,4,0,1
478,6,20,3,0,1
479,21,50,4,0,2
480,21,10,1,0,2
481,16,10,4,0,3
482,8,10,4,0,5
483,16,20,4,0,6
484,17,10,2,0,6
485,7,10,2,0,7
486,9,10,2,0,7
487,16,20,4,0,8
488,13,20,4,0,8
489,8,40,4,0,9
490,21,10,2,0,9
491,23,20,4,0,9
492,19,20,3,0,10
493,13,30,4,0,12
494,23,40,4,0,6
495,18,70,4,0,11
496,17,20,4,0,9
497,13,20,3,0,6
498,22,20,3,0,11
499,10,10,1,0,3
500,16,20,4,0,3
501,10,20,3,0,7
502,19,20,3,0,8
503,19,10,3,0,5
504,1,20,3,0,9
505,17,20,3,0,3
506,15,20,3,0,11
507,19,20,3,0,12
508,0,20,3,0,10
510,19,20,3,0,4
511,22,20,3,0,5
512,22,20,4,0,2
513,20,20,4,0,9
514,14,10,1,0,12
515,16,10,2,0,1
516,19,20,3,0,4
517,15,10,2,0,5
518,11,10,2,0,5
519,7,10,2,0,5
520,6,10,2,0,6
