,occurTime,age,occupation,isRock,occurMonth,mahal
125,18,20,4,1,8,5.346971114053412
126,10,10,1,1,9,10.715764880008209
127,7,10,2,1,8,11.650978318408844
128,8,20,4,1,5,5.489932408901374
129,10,70,4,1,5,50.24398318588327
130,17,40,4,1,8,20.580091534560893
131,18,10,3,1,4,11.514191453066445
132,7,10,2,1,6,11.637650296043873
133,8,40,4,1,7,20.748453730658582
134,9,60,4,1,9,40.37271135422815
135,10,20,4,1,12,6.035127062790164
136,10,50,4,1,12,30.70009174510639
137,16,10,2,1,5,10.590861551715799
138,12,70,4,1,5,50.16627230941579
139,13,50,4,1,2,30.532592796903756
140,20,20,4,1,9,7.4794603291393535
141,20,20,4,1,10,7.81649042068631
142,17,10,0,1,3,11.756599442819084
143,15,10,2,1,10,10.622796773712711
144,18,10,4,1,6,11.236343588264061
145,17,10,2,1,6,10.789812769862673
146,14,10,2,1,6,10.056068468839456
147,18,20,4,1,6,5.317866934354285
148,19,10,2,1,7,11.65213655641485
149,18,10,2,1,8,11.21735113524056
150,16,10,2,1,9,10.620128583668743
151,8,10,2,1,4,11.498827269315566
152,7,30,4,1,7,11.805741196372898
153,19,10,2,1,7,11.65213655641485
154,7,20,3,1,7,5.998567549434519
155,23,20,3,1,4,10.492543729414944
156,0,20,4,1,7,13.025422260363898
157,18,10,2,1,1,12.63893178716866
158,20,20,3,1,2,8.630616200014776
159,9,10,2,1,6,10.753229070941732
160,21,20,4,1,2,9.537005429596714
161,17,10,3,1,11,11.4701551458069
162,9,10,2,1,6,10.753229070941732
163,8,10,2,1,6,11.159454284712053
164,8,10,2,1,8,11.173352732980426
165,19,10,2,1,9,11.835652820709228
166,7,10,2,1,9,11.785605264794187
167,16,10,0,1,3,11.450725520215995
168,18,10,2,1,3,11.834398509587436
169,7,20,3,1,4,6.672123020493135
170,22,10,4,1,9,13.642399582050437
171,22,20,4,1,11,10.022462233270256
172,17,20,4,1,6,4.379633913003516
173,6,10,2,1,4,12.491036687577976
174,13,10,2,1,7,9.958975510158183
175,8,10,2,1,4,11.498827269315566
176,7,10,2,1,6,11.637650296043873
177,8,30,4,1,8,11.385483582036196
178,8,30,4,1,9,11.52321274985094
179,16,10,2,1,2,11.51958164878732
180,16,10,2,1,6,10.455694337973133
181,18,60,4,1,10,40.55857070274355
182,16,10,1,1,8,10.59544781495878
183,8,20,4,1,9,5.546182523173171
184,18,20,4,1,9,5.634296386953126
185,8,10,2,1,1,12.599898472806075
186,8,10,2,1,4,11.498827269315566
187,18,30,4,1,7,11.378013706749778
188,20,10,2,1,5,12.35153474212353
189,8,30,4,1,3,11.993884191089158
190,18,40,4,1,6,20.792505662556643
191,16,20,3,1,1,6.703601884970005
192,20,10,2,1,4,12.546123497095552
193,8,10,2,1,7,11.121538365446108
194,7,10,2,1,10,12.002320073179849
195,18,10,2,1,5,11.32975637190616
196,18,30,4,1,7,11.378013706749778
197,7,10,2,1,1,13.025318652741387
198,19,10,4,1,12,12.739117192418
199,6,30,4,1,2,13.285369067835891
200,19,10,2,1,5,11.809398586139618
201,8,10,4,1,6,11.192419847282418
202,8,10,2,1,9,11.313664613073549
203,6,10,4,1,9,12.350660631854456
204,6,10,2,1,6,12.179342711880716
205,7,10,2,1,12,12.663572896385872
206,9,40,4,1,5,20.62247454525827
207,10,10,2,1,4,10.789812769862673
208,14,10,2,1,5,10.196534576437019
209,17,10,1,1,6,10.911078707261717
210,0,20,4,1,9,13.18984520090385
211,8,10,2,1,6,11.159454284712053
212,16,10,2,1,10,10.860125543250838
213,7,10,2,1,5,11.759239292211829
214,15,40,4,1,7,20.25309706810929
215,19,50,4,1,8,30.75323544129978
216,11,10,2,1,8,10.20486932078533
217,8,20,4,1,8,5.254040816251816
218,16,10,4,1,8,10.505654551593134
219,16,40,4,1,11,20.782378090485004
220,0,20,3,1,5,13.11422177047227
221,21,50,4,1,8,31.208308527492374
222,8,10,2,1,4,11.498827269315566
223,15,30,4,1,8,10.455565266105552
224,7,10,2,1,4,11.963465762478158
225,17,10,2,1,1,12.273715052955003
226,7,10,2,1,10,12.002320073179849
227,19,10,2,1,1,13.070620193405917
228,11,60,4,1,9,40.22627068385732
229,7,10,2,1,9,11.785605264794187
230,7,10,2,1,5,11.759239292211829
231,7,30,4,1,8,11.854565402293229
232,7,10,2,1,9,11.785605264794187
233,22,10,2,1,8,13.499001021170244
234,8,10,2,1,7,11.121538365446108
235,9,10,0,1,3,11.723033152829894
236,7,10,2,1,2,12.602147502983932
237,11,10,2,1,3,10.879493528963023
238,7,10,2,1,8,11.650978318408844
239,15,10,2,1,9,10.377312542951074
240,12,10,3,1,4,10.391607753396944
241,15,10,3,1,5,10.316794751310864
242,14,20,3,1,6,1.5865766923141316
243,13,10,3,1,6,9.969674948715758
244,9,10,4,1,12,11.8869656198072
245,19,20,3,1,1,8.499048463850402
246,14,10,3,1,7,9.982390985336638
247,23,20,3,1,12,11.284282846764196
248,20,20,4,1,12,8.798176734966386
249,14,20,3,1,8,1.6815519509124275
250,19,20,3,1,9,6.440138992519465
251,20,10,4,1,7,12.231420357185453
252,18,10,3,1,10,11.55455662961315
253,22,20,3,1,11,9.953960426116684
254,8,10,2,1,10,11.53924619109169
255,8,10,2,1,5,11.286196181666645
256,8,10,2,1,8,11.173352732980426
257,16,10,2,1,5,10.590861551715799
258,18,20,3,1,7,5.105534581253811
259,18,10,2,1,11,11.88673855756141
260,20,10,2,1,2,13.156550590536646
261,19,10,2,1,11,12.344758768618577
262,7,10,2,1,11,12.296783433913415
263,5,60,4,1,1,41.331830283226736
264,9,10,2,1,2,11.790299094005228
265,10,40,4,1,2,20.950402975715264
266,17,10,2,1,5,10.920845385187912
267,17,10,2,1,6,10.789812769862673
268,13,10,2,1,8,10.016805323726818
269,18,30,4,1,10,11.78663577767296
270,10,40,4,1,1,21.207644592536614
271,18,10,2,1,7,11.165740943160522
272,18,10,2,1,3,11.834398509587436
273,19,10,3,1,4,11.986455703728126
274,19,10,2,1,8,11.70160168570315
275,19,10,2,1,10,12.051467685467765
276,16,10,2,1,11,11.184700375811628
277,20,10,2,1,11,12.864353251328005
278,7,10,2,1,9,11.785605264794187
279,22,10,4,1,8,13.526265954609146
280,6,20,3,1,2,8.550340269135688
281,19,20,4,1,3,7.342522537012221
282,17,20,3,1,4,5.049988197637294
283,22,20,3,1,5,9.281710730012447
284,15,10,2,1,9,10.377312542951074
285,17,20,3,1,10,5.141357299910675
286,13,10,2,1,3,10.703289703912745
287,19,20,4,1,9,6.545518413051881
288,18,20,3,1,12,7.200170954077124
